open_date,close_date,department,city
2014-01-01 09:16:00,2014-01-13 14:47:00,DPIS,buffalo
2014-01-01 13:16:00,2014-01-10 08:38:00,DPIS,buffalo
2014-01-01 16:35:00,2014-01-22 08:52:00,DPIS,buffalo
2014-01-01 17:37:00,2014-01-22 08:55:00,DPIS,buffalo
2014-01-01 17:53:00,2014-01-22 08:56:00,DPIS,buffalo
2014-01-01 22:03:00,2014-01-09 09:18:00,Dept of Public Works,buffalo
2014-01-02 03:49:00,2014-01-03 15:04:00,Dept of Parking,buffalo
2014-01-02 08:24:00,2014-02-18 06:38:00,Dept of Public Works,buffalo
2014-01-02 08:43:00,2014-02-06 09:09:00,Dept of Public Works,buffalo
2014-01-02 08:44:00,2014-01-16 12:30:00,Dept of Public Works,buffalo
2014-01-02 08:47:00,2014-01-03 08:00:00,Dept of Public Works,buffalo
2014-01-02 08:48:00,2014-01-31 11:49:00,Dept of Public Works,buffalo
2014-01-02 08:51:00,2014-01-31 11:39:00,Dept of Public Works,buffalo
2014-01-02 08:55:00,2014-01-03 14:42:00,Dept of Parking,buffalo
2014-01-02 08:57:00,2014-01-31 12:21:00,Dept of Public Works,buffalo
2014-01-02 08:59:00,2014-01-31 11:38:00,Dept of Public Works,buffalo
2014-01-02 09:00:00,2014-01-31 12:22:00,Dept of Public Works,buffalo
2014-01-02 09:01:00,2014-01-21 09:41:00,Dept of Public Works,buffalo
2014-01-02 09:09:00,2014-01-16 12:41:00,Dept of Public Works,buffalo
2014-01-02 09:17:00,2014-01-02 09:30:00,Dept of Public Works,buffalo
2014-01-02 09:21:00,2014-01-31 11:43:00,Dept of Public Works,buffalo
2014-01-02 09:24:00,2014-01-03 14:59:00,Dept of Parking,buffalo
2014-01-02 09:27:00,2014-01-13 06:35:00,Dept of Public Works,buffalo
2014-01-02 09:27:00,2014-01-16 12:42:00,Dept of Public Works,buffalo
2014-01-02 09:28:00,2014-01-08 10:41:00,Dept of Public Works,buffalo
2014-01-02 09:29:00,2014-01-10 08:11:00,Dept of Public Works,buffalo
2014-01-02 09:32:00,2014-01-14 08:47:00,DPIS,buffalo
2014-01-02 09:32:00,2014-01-06 09:50:00,DPIS,buffalo
2014-01-02 09:34:00,2014-01-09 07:52:00,Utilities,buffalo
2014-01-02 09:35:00,2014-01-03 11:24:00,Dept of Public Works,buffalo
2014-01-02 09:35:00,2014-01-03 08:05:00,DPIS,buffalo
2014-01-02 09:36:00,2014-01-02 10:57:00,Dept of Public Works,buffalo
2014-01-02 09:38:00,2014-01-31 11:44:00,Dept of Public Works,buffalo
2014-01-02 09:38:00,2014-01-09 09:07:00,Dept of Public Works,buffalo
2014-01-02 09:44:00,2014-01-03 08:00:00,Dept of Public Works,buffalo
2014-01-02 09:45:00,2014-01-03 15:48:00,Dept of Public Works,buffalo
2014-01-02 09:45:00,2014-01-09 08:41:00,Dept of Public Works,buffalo
2014-01-02 09:46:00,2014-01-04 10:56:00,Dept of Public Works,buffalo
2014-01-02 09:48:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 09:52:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 09:52:00,2014-01-03 08:07:00,Dept of Public Works,buffalo
2014-01-02 09:53:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 09:54:00,2014-01-16 12:43:00,Dept of Public Works,buffalo
2014-01-02 09:54:00,2014-01-08 11:53:00,Dept of Public Works,buffalo
2014-01-02 09:55:00,2014-01-31 11:45:00,Dept of Public Works,buffalo
2014-01-02 09:57:00,2014-01-09 08:42:00,Dept of Public Works,buffalo
2014-01-02 09:58:00,2014-01-31 11:44:00,Dept of Public Works,buffalo
2014-01-02 09:59:00,2014-01-31 11:44:00,Dept of Public Works,buffalo
2014-01-02 10:00:00,2014-01-03 07:57:00,Dept of Public Works,buffalo
2014-01-02 10:02:00,2014-01-10 07:59:00,Dept of Public Works,buffalo
2014-01-02 10:03:00,2014-01-03 11:08:00,Buffalo Municipal Housing Authority,buffalo
2014-01-02 10:04:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 10:05:00,2014-01-03 14:57:00,Dept of Parking,buffalo
2014-01-02 10:05:00,2014-01-02 13:49:00,Dept of Public Works,buffalo
2014-01-02 10:06:00,2014-01-04 10:33:00,Dept of Public Works,buffalo
2014-01-02 10:06:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 10:07:00,2014-01-09 08:51:00,Dept of Public Works,buffalo
2014-01-02 10:10:00,2014-01-10 07:52:00,Dept of Public Works,buffalo
2014-01-02 10:14:00,2014-01-02 11:46:00,Dept of Public Works,buffalo
2014-01-02 10:16:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 10:17:00,2014-01-03 07:58:00,Dept of Public Works,buffalo
2014-01-02 10:17:00,2014-01-11 07:39:00,Dept of Public Works,buffalo
2014-01-02 10:21:00,2014-01-31 12:19:00,Dept of Public Works,buffalo
2014-01-02 10:21:00,2014-01-10 07:45:00,Dept of Public Works,buffalo
2014-01-02 10:22:00,2014-01-31 11:38:00,Dept of Public Works,buffalo
2014-01-02 10:25:00,2014-01-13 09:46:00,Dept of Public Works,buffalo
2014-01-02 10:25:00,2014-01-03 08:12:00,DPIS,buffalo
2014-01-02 10:26:00,2014-01-09 14:58:00,Utilities,buffalo
2014-01-02 10:27:00,2014-01-02 11:00:00,Dept of Public Works,buffalo
2014-01-02 10:27:00,2014-01-02 16:52:00,Assessment & Taxation,buffalo
2014-01-02 10:28:00,2014-01-03 07:55:00,Dept of Public Works,buffalo
2014-01-02 10:29:00,2014-01-02 11:05:00,Buffalo Police Department,buffalo
2014-01-02 10:30:00,2014-01-09 08:05:00,DPIS,buffalo
2014-01-02 10:30:00,2014-01-09 08:05:00,DPIS,buffalo
2014-01-02 10:32:00,2014-01-13 15:38:00,Dept of Public Works,buffalo
2014-01-02 10:33:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 10:34:00,2014-01-08 11:47:00,Dept of Public Works,buffalo
2014-01-02 10:36:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 10:36:00,2014-01-02 11:06:00,Buffalo Police Department,buffalo
2014-01-02 10:37:00,2014-01-03 08:07:00,Dept of Public Works,buffalo
2014-01-02 10:38:00,2014-01-08 07:28:00,Dept of Public Works,buffalo
2014-01-02 10:41:00,2014-01-02 11:05:00,Buffalo Police Department,buffalo
2014-01-02 10:41:00,2014-01-31 12:20:00,Dept of Public Works,buffalo
2014-01-02 10:44:00,2014-01-10 10:37:00,DPIS,buffalo
2014-01-02 10:45:00,2014-01-02 11:04:00,Buffalo Police Department,buffalo
2014-01-02 10:45:00,2014-01-10 08:12:00,Dept of Public Works,buffalo
2014-01-02 10:47:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 10:47:00,2014-01-31 12:21:00,Dept of Public Works,buffalo
2014-01-02 10:47:00,2014-01-08 09:30:00,DPIS,buffalo
2014-01-02 10:49:00,2014-01-10 08:07:00,Dept of Public Works,buffalo
2014-01-02 10:50:00,2014-01-31 12:23:00,Dept of Public Works,buffalo
2014-01-02 10:50:00,2014-01-03 07:55:00,Dept of Public Works,buffalo
2014-01-02 10:51:00,2014-01-03 08:04:00,DPIS,buffalo
2014-01-02 10:53:00,2014-01-31 12:22:00,Dept of Public Works,buffalo
2014-01-02 10:56:00,2014-01-31 12:20:00,Dept of Public Works,buffalo
2014-01-02 10:58:00,2014-01-06 11:35:00,Buffalo Police Department,buffalo
2014-01-02 10:58:00,2014-01-06 11:36:00,Buffalo Police Department,buffalo
2014-01-02 10:59:00,2014-01-31 11:46:00,Dept of Public Works,buffalo
2014-01-02 10:59:00,2014-01-10 08:12:00,Dept of Public Works,buffalo
2014-01-02 11:00:00,2014-01-03 07:54:00,Dept of Public Works,buffalo
2014-01-02 11:02:00,2014-01-09 09:05:00,Dept of Public Works,buffalo
2014-01-02 11:05:00,2014-01-07 07:00:00,Dept of Public Works,buffalo
2014-01-02 11:08:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 11:12:00,2014-01-14 13:53:00,DPIS,buffalo
2014-01-02 11:13:00,2014-01-03 08:48:00,Utilities,buffalo
2014-01-02 11:15:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 11:15:00,2014-01-31 11:50:00,Dept of Public Works,buffalo
2014-01-02 11:16:00,2014-01-03 07:54:00,Dept of Public Works,buffalo
2014-01-02 11:17:00,2014-01-04 10:56:00,Dept of Public Works,buffalo
2014-01-02 11:18:00,2014-01-03 15:03:00,Dept of Parking,buffalo
2014-01-02 11:19:00,2014-01-31 12:24:00,Dept of Public Works,buffalo
2014-01-02 11:24:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 11:26:00,2014-01-09 14:58:00,Utilities,buffalo
2014-01-02 11:28:00,2014-01-08 09:45:00,Dept of Parking,buffalo
2014-01-02 11:29:00,2014-01-09 14:58:00,Utilities,buffalo
2014-01-02 11:30:00,2014-01-03 08:05:00,Dept of Public Works,buffalo
2014-01-02 11:32:00,2014-01-09 14:58:00,Utilities,buffalo
2014-01-02 11:33:00,2014-01-03 07:53:00,Dept of Public Works,buffalo
2014-01-02 11:33:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 11:34:00,2014-01-13 17:18:00,Dept of Parking,buffalo
2014-01-02 11:37:00,2014-01-09 09:13:00,Dept of Public Works,buffalo
2014-01-02 11:39:00,2014-01-03 07:53:00,Dept of Public Works,buffalo
2014-01-02 11:40:00,2014-01-08 07:29:00,Dept of Public Works,buffalo
2014-01-02 11:42:00,2014-01-06 11:34:00,Buffalo Police Department,buffalo
2014-01-02 11:43:00,2014-01-27 16:09:00,Office of the Mayor,buffalo
2014-01-02 11:44:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 11:47:00,2014-01-21 11:59:00,Dept of Public Works,buffalo
2014-01-02 11:48:00,2014-01-03 06:38:00,Utilities,buffalo
2014-01-02 11:49:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 11:50:00,2014-04-11 09:42:00,DPIS,buffalo
2014-01-02 11:50:00,2014-01-03 06:34:00,Utilities,buffalo
2014-01-02 11:50:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 11:53:00,2014-01-09 14:58:00,Dept of Public Works,buffalo
2014-01-02 11:54:00,2014-03-24 12:02:00,Dept of Public Works,buffalo
2014-01-02 11:57:00,2014-01-03 08:07:00,DPIS,buffalo
2014-01-02 11:58:00,2014-01-17 13:06:00,Dept of Public Works,buffalo
2014-01-02 11:59:00,2014-01-09 09:00:00,Dept of Public Works,buffalo
2014-01-02 12:00:00,2014-01-06 11:28:00,Buffalo Police Department,buffalo
2014-01-02 12:01:00,2014-01-03 14:59:00,Dept of Parking,buffalo
2014-01-02 12:05:00,2014-01-10 08:45:00,DPIS,buffalo
2014-01-02 12:06:00,2014-01-10 08:59:00,DPIS,buffalo
2014-01-02 12:07:00,2014-01-09 14:58:00,Utilities,buffalo
2014-01-02 12:15:00,2014-01-13 06:36:00,Dept of Public Works,buffalo
2014-01-02 12:16:00,2014-01-14 12:52:00,Dept of Public Works,buffalo
2014-01-02 12:18:00,2014-01-09 14:58:00,Utilities,buffalo
2014-01-02 12:19:00,2014-01-03 12:34:00,Dept of Public Works,buffalo
2014-01-02 12:20:00,2014-01-09 13:54:00,Dept of Public Works,buffalo
2014-01-02 12:21:00,2014-01-03 13:30:00,DPIS,buffalo
2014-01-02 12:32:00,2014-01-04 11:07:00,Dept of Public Works,buffalo
2014-01-02 12:32:00,2014-01-03 07:52:00,Dept of Public Works,buffalo
2014-01-02 12:37:00,2014-01-03 14:43:00,DPIS,buffalo
2014-01-02 12:39:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 12:40:00,2014-01-08 11:46:00,Dept of Public Works,buffalo
2014-01-02 12:50:00,2014-01-16 08:43:00,DPIS,buffalo
2014-01-02 12:50:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 12:50:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 12:51:00,2014-01-16 08:28:00,Dept of Public Works,buffalo
2014-01-02 12:51:00,2014-01-06 11:27:00,Buffalo Police Department,buffalo
2014-01-02 12:53:00,2014-01-03 15:34:00,Dept of Parking,buffalo
2014-01-02 12:53:00,2014-01-09 11:19:00,DPIS,buffalo
2014-01-02 13:00:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 13:06:00,2014-01-06 09:49:00,DPIS,buffalo
2014-01-02 13:06:00,2014-01-06 09:49:00,DPIS,buffalo
2014-01-02 13:08:00,2014-01-08 09:51:00,Dept of Parking,buffalo
2014-01-02 13:13:00,2014-01-11 07:38:00,Dept of Public Works,buffalo
2014-01-02 13:15:00,2014-01-10 07:51:00,Dept of Public Works,buffalo
2014-01-02 13:16:00,2014-01-03 11:13:00,Dept of Public Works,buffalo
2014-01-02 13:18:00,2014-01-07 07:00:00,Dept of Public Works,buffalo
2014-01-02 13:21:00,2014-01-04 11:00:00,Dept of Public Works,buffalo
2014-01-02 13:21:00,2014-01-09 14:58:00,Utilities,buffalo
2014-01-02 13:22:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 13:24:00,2014-01-03 07:52:00,Dept of Public Works,buffalo
2014-01-02 13:30:00,2014-01-13 06:37:00,Dept of Public Works,buffalo
2014-01-02 13:30:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 13:44:00,2014-01-09 14:58:00,Utilities,buffalo
2014-01-02 13:46:00,2014-02-12 11:37:00,DPIS,buffalo
2014-01-02 13:47:00,2014-01-03 07:51:00,Dept of Public Works,buffalo
2014-01-02 13:48:00,2014-01-03 12:36:00,Dept of Public Works,buffalo
2014-01-02 13:50:00,2014-01-04 10:56:00,Dept of Public Works,buffalo
2014-01-02 13:53:00,2014-01-03 07:51:00,Dept of Public Works,buffalo
2014-01-02 13:55:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 13:59:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 14:01:00,2014-01-02 15:31:00,Dept of Public Works,buffalo
2014-01-02 14:01:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 14:01:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 14:20:00,2014-01-06 15:37:00,Dept of Public Works,buffalo
2014-01-02 14:21:00,2014-01-10 16:04:00,Dept of Parking,buffalo
2014-01-02 14:22:00,2014-01-03 15:10:00,Dept of Parking,buffalo
2014-01-02 14:23:00,2014-01-06 10:13:00,Dept of Public Works,buffalo
2014-01-02 14:28:00,2014-01-03 06:53:00,Utilities,buffalo
2014-01-02 14:33:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 14:33:00,2014-01-14 08:08:00,DPIS,buffalo
2014-01-02 14:36:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 14:37:00,2014-01-03 08:02:00,Dept of Public Works,buffalo
2014-01-02 14:38:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 14:41:00,2014-01-10 08:11:00,Dept of Public Works,buffalo
2014-01-02 14:46:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 14:47:00,2014-01-03 12:36:00,Dept of Public Works,buffalo
2014-01-02 14:51:00,2014-01-16 12:44:00,Dept of Public Works,buffalo
2014-01-02 14:52:00,2014-01-03 13:42:00,City Clerk,buffalo
2014-01-02 14:54:00,2014-01-14 15:54:00,Dept of Public Works,buffalo
2014-01-02 14:55:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 14:55:00,2014-01-04 10:59:00,Dept of Public Works,buffalo
2014-01-02 14:58:00,2014-01-03 07:50:00,Dept of Public Works,buffalo
2014-01-02 14:58:00,2014-01-04 10:40:00,Dept of Public Works,buffalo
2014-01-02 14:59:00,2014-02-04 12:00:00,DPIS,buffalo
2014-01-02 15:02:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 15:06:00,2014-01-14 15:53:00,Dept of Public Works,buffalo
2014-01-02 15:06:00,2014-01-06 10:10:00,Dept of Public Works,buffalo
2014-01-02 15:07:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 15:07:00,2014-01-03 07:48:00,Dept of Public Works,buffalo
2014-01-02 15:09:00,2014-01-08 09:50:00,Dept of Parking,buffalo
2014-01-02 15:10:00,2014-01-08 11:57:00,Dept of Public Works,buffalo
2014-01-02 15:12:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 15:12:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 15:26:00,2014-01-09 09:11:00,Dept of Public Works,buffalo
2014-01-02 15:27:00,2014-01-10 08:06:00,Dept of Public Works,buffalo
2014-01-02 15:28:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 15:29:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 15:32:00,2014-01-16 15:51:00,Buffalo Municipal Housing Authority,buffalo
2014-01-02 15:34:00,2014-01-06 15:37:00,Dept of Public Works,buffalo
2014-01-02 15:42:00,2014-01-03 07:48:00,Dept of Public Works,buffalo
2014-01-02 15:45:00,2014-01-03 07:47:00,Dept of Public Works,buffalo
2014-01-02 15:45:00,2014-01-03 15:22:00,Dept of Parking,buffalo
2014-01-02 15:45:00,2014-01-09 14:58:00,Utilities,buffalo
2014-01-02 15:56:00,2014-01-09 08:39:00,Utilities,buffalo
2014-01-02 15:57:00,2014-01-09 09:14:00,Dept of Public Works,buffalo
2014-01-02 16:01:00,2014-01-03 07:47:00,Dept of Public Works,buffalo
2014-01-02 16:02:00,2014-01-03 12:37:00,Dept of Public Works,buffalo
2014-01-02 16:06:00,2014-01-09 13:53:00,Dept of Public Works,buffalo
2014-01-02 16:07:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 16:09:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 16:19:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 16:19:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 16:20:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 16:20:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 16:22:00,2014-01-13 06:37:00,Dept of Public Works,buffalo
2014-01-02 16:24:00,2014-01-04 10:37:00,Dept of Public Works,buffalo
2014-01-02 16:24:00,2014-01-14 12:53:00,Dept of Public Works,buffalo
2014-01-02 16:28:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 16:32:00,2014-01-07 08:16:00,DPIS,buffalo
2014-01-02 21:10:00,2014-01-23 08:56:00,DPIS,buffalo
2014-01-02 21:16:00,2014-01-22 10:23:00,DPIS,buffalo
2014-01-02 21:18:00,2014-01-09 14:58:00,Utilities,buffalo
2014-01-02 21:20:00,2014-02-05 10:51:00,DPIS,buffalo
2014-01-02 22:25:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-02 23:05:00,2014-01-17 13:07:00,Dept of Public Works,buffalo
2014-01-02 23:07:00,2014-01-14 08:39:00,DPIS,buffalo
2014-01-02 23:09:00,2014-01-10 10:00:00,DPIS,buffalo
2014-01-03 08:38:00,2014-01-10 07:51:00,Dept of Public Works,buffalo
2014-01-03 08:38:00,2014-01-03 14:06:00,DPIS,buffalo
2014-01-03 08:39:00,2014-01-03 16:02:00,Dept of Public Works,buffalo
2014-01-03 08:40:00,2014-01-03 08:56:00,Buffalo Municipal Housing Authority,buffalo
2014-01-03 08:41:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 08:41:00,2014-01-13 09:23:00,DPIS,buffalo
2014-01-03 08:45:00,2014-01-03 15:37:00,Dept of Parking,buffalo
2014-01-03 08:49:00,2014-01-14 13:02:00,Dept of Public Works,buffalo
2014-01-03 08:51:00,2014-01-03 16:01:00,Dept of Public Works,buffalo
2014-01-03 08:52:00,2014-01-03 11:15:00,Dept of Public Works,buffalo
2014-01-03 08:55:00,2014-01-06 10:26:00,Dept of Public Works,buffalo
2014-01-03 08:56:00,2014-01-08 07:18:00,Dept of Public Works,buffalo
2014-01-03 08:58:00,2014-01-03 09:09:00,Dept of Public Works,buffalo
2014-01-03 08:59:00,2014-01-08 09:55:00,Dept of Parking,buffalo
2014-01-03 09:05:00,2014-01-08 07:31:00,Dept of Public Works,buffalo
2014-01-03 09:05:00,2014-01-03 15:37:00,Dept of Parking,buffalo
2014-01-03 09:08:00,2014-01-14 15:53:00,Dept of Public Works,buffalo
2014-01-03 09:13:00,2014-01-09 10:50:00,DPIS,buffalo
2014-01-03 09:14:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 09:14:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 09:16:00,2014-01-03 16:14:00,Dept of Public Works,buffalo
2014-01-03 09:16:00,2014-01-03 15:13:00,Dept of Parking,buffalo
2014-01-03 09:16:00,2014-01-13 09:07:00,Dept of Public Works,buffalo
2014-01-03 09:17:00,2014-01-24 10:06:00,DPIS,buffalo
2014-01-03 09:22:00,2014-01-03 15:20:00,Dept of Parking,buffalo
2014-01-03 09:22:00,2014-01-03 15:38:00,Dept of Parking,buffalo
2014-01-03 09:23:00,2014-02-18 15:51:00,DPIS,buffalo
2014-01-03 09:23:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 09:27:00,2014-01-10 08:10:00,Dept of Public Works,buffalo
2014-01-03 09:28:00,2014-01-14 08:40:00,DPIS,buffalo
2014-01-03 09:31:00,2014-01-08 07:30:00,Dept of Public Works,buffalo
2014-01-03 09:32:00,2014-01-08 11:48:00,Dept of Public Works,buffalo
2014-01-03 09:32:00,2014-01-03 15:57:00,Dept of Public Works,buffalo
2014-01-03 09:34:00,2014-01-10 08:18:00,Dept of Public Works,buffalo
2014-01-03 09:35:00,2014-01-14 13:32:00,DPIS,buffalo
2014-01-03 09:36:00,2014-01-14 15:41:00,DPIS,buffalo
2014-01-03 09:37:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 09:38:00,2014-01-03 15:14:00,Dept of Parking,buffalo
2014-01-03 09:38:00,2014-01-14 08:57:00,DPIS,buffalo
2014-01-03 09:40:00,2014-01-03 11:17:00,Dept of Public Works,buffalo
2014-01-03 09:42:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 09:44:00,2014-01-15 10:09:00,Dept of Parking,buffalo
2014-01-03 09:46:00,2014-01-14 15:52:00,Dept of Public Works,buffalo
2014-01-03 09:47:00,2014-01-11 08:37:00,Dept of Public Works,buffalo
2014-01-03 09:49:00,2014-01-10 15:29:00,Dept of Parking,buffalo
2014-01-03 09:51:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 09:51:00,2014-01-10 07:44:00,Dept of Public Works,buffalo
2014-01-03 09:55:00,2014-01-08 14:17:00,Dept of Public Works,buffalo
2014-01-03 09:55:00,2014-01-14 15:51:00,Dept of Public Works,buffalo
2014-01-03 09:55:00,2014-01-08 14:17:00,Dept of Public Works,buffalo
2014-01-03 09:58:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 10:00:00,2014-01-16 15:35:00,Buffalo Municipal Housing Authority,buffalo
2014-01-03 10:00:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 10:02:00,2014-01-03 15:16:00,Dept of Parking,buffalo
2014-01-03 10:04:00,2014-01-22 08:44:00,DPIS,buffalo
2014-01-03 10:04:00,2014-01-03 15:16:00,Dept of Parking,buffalo
2014-01-03 10:07:00,2014-01-17 12:52:00,Dept of Parking,buffalo
2014-01-03 10:07:00,2014-01-07 15:22:00,Dept of Public Works,buffalo
2014-01-03 10:07:00,2014-02-13 14:39:00,Dept of Public Works,buffalo
2014-01-03 10:10:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 10:10:00,2014-01-11 07:40:00,Dept of Public Works,buffalo
2014-01-03 10:17:00,2014-01-06 14:02:00,DPIS,buffalo
2014-01-03 10:18:00,2014-01-10 16:05:00,Dept of Public Works,buffalo
2014-01-03 10:21:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 10:22:00,2014-01-03 15:56:00,Dept of Public Works,buffalo
2014-01-03 10:27:00,2014-01-08 10:00:00,Dept of Parking,buffalo
2014-01-03 10:28:00,2014-01-22 08:28:00,DPIS,buffalo
2014-01-03 10:28:00,2014-01-08 08:42:00,Office of the Mayor,buffalo
2014-01-03 10:30:00,2014-01-10 10:57:00,DPIS,buffalo
2014-01-03 10:30:00,2014-01-03 15:21:00,Dept of Parking,buffalo
2014-01-03 10:34:00,2014-01-10 07:48:00,Dept of Public Works,buffalo
2014-01-03 10:35:00,2014-01-09 09:01:00,Dept of Public Works,buffalo
2014-01-03 10:46:00,2014-01-13 08:59:00,Dept of Public Works,buffalo
2014-01-03 10:49:00,2014-01-16 12:45:00,Dept of Public Works,buffalo
2014-01-03 10:50:00,2014-01-22 08:20:00,DPIS,buffalo
2014-01-03 10:51:00,2014-01-11 07:48:00,Dept of Public Works,buffalo
2014-01-03 10:52:00,2014-01-03 14:05:00,DPIS,buffalo
2014-01-03 10:54:00,2014-01-03 14:04:00,DPIS,buffalo
2014-01-03 10:56:00,2014-01-08 09:48:00,Dept of Parking,buffalo
2014-01-03 10:57:00,2014-01-06 10:25:00,Dept of Public Works,buffalo
2014-01-03 10:58:00,2014-01-06 10:24:00,Dept of Public Works,buffalo
2014-01-03 11:00:00,2014-01-08 14:16:00,Dept of Public Works,buffalo
2014-01-03 11:01:00,2014-01-03 15:54:00,Dept of Public Works,buffalo
